rank,route,total_exposure,cum_exposure_pct
1,Vadodara → Nalgonda,156975236.0,13.233068109748466
2,Vadodara → Surat,122376216.0,23.54942655332673
3,,109914380.0,32.81524779904713
4,Vadodara → Bangalore,87847403.0,40.220815051473636
5,Vadodara → Bharuch,71476900.0,46.24634309064588
6,Vadodara → Visakhapatnam,67856844.0,51.96669912415792
7,Vadodara → South West Delhi,63121516.0,57.2878653265682
8,Vadodara → Jaipur,47129082.0,61.2608636666116
9,Vadodara → Thane,46738384.0,65.20092602658524
10,Vadodara → East Godavari,41106002.0,68.66617658486729
11,Vadodara → Raigarh(MH),40192567.0,72.05442424844544
12,Vadodara → Cuttack,31152000.0,74.68054890517081
13,Vadodara → Belgaum,23753400.0,76.6829689559239
14,Vadodara → Dharwad,21287199.0,78.47748738705255
15,Vadodara → Kanchipuram,19982710.0,80.16203693248119
16,Vadodara → K.V.Rangareddy,16484600.0,81.5516945633317
17,Vadodara → Mumbai,15017860.0,82.81770549159472
18,Vadodara → Angul,13109800.0,83.9228662846333
19,Vadodara → Pune,12970779.0,85.01630755802941
20,Vadodara → Medak,12726890.0,86.08918890216243
21,Vadodara → Ananthapur,12408880.0,87.1352618904247
22,Vadodara → Alwar,12201200.0,88.16382738097546
23,,11468858.0,89.13065618099736
24,,9735000.0,89.95132013622404
25,Vadodara → Sagar,8833150.0,90.69595781635866
26,WAGHODIA → DAHEJ,8761500.0,91.43455537606268
27,Vadodara → Valsad,8664150.0,92.16494629621442
28,Vadodara → Kheda,8539879.0,92.88486112695887
29,Vadodara → West Midnapore,8437000.0,93.59610322148868
30,Vadodara → Jalpaiguri,7917800.0,94.26357657173969
31,Vadodara → South Goa,7833430.0,94.92393750104543
32,Vadodara → Dehradun,6619800.0,95.48198899059958
33,Vadodara → Villupuram,6100600.0,95.99627173587496
34,Vadodara → Ghaziabad,6051276.0,96.50639645044386
35,Vadodara → Howrah,5607360.0,96.97909888865442
36,Vadodara → Murshidabad,5192000.0,97.41678633144198
37,Vadodara → Ahmed Nagar,4750680.0,97.8172703415926
38,Vadodara → Dungarpur,4731210.0,98.21611302383278
39,Vadodara → Kolkata,4506721.0,98.59603120369545
40,Vadodara → Chickmagalur,3932940.0,98.92757944160702
41,Vadodara → Bhopal,3881020.0,99.25475080509074
42,WAGHODIA → VILLUPURAM,3050300.0,99.51189217772843
43,Vadodara → Erode,3005894.0,99.76529010880517
44,Vadodara → Indore,2784210.0,100.0
