route,trip_count,total_exposure,avg_distance_km,p90_distance_km,exposure_per_trip,risk_score_0_100
Vadodara → Cuttack,2,31152000.0,1328.621877749021,1328.621877749021,15576000.0,100.0
Vadodara → South West Delhi,4,63121516.0,795.7577412148929,795.7577412148929,15780379.0,93.13828499134576
Vadodara → Visakhapatnam,5,67856844.0,1172.2705345120603,1172.2705345120603,13571368.8,83.2726583381545
Vadodara → Medak,1,12726890.0,713.6271743885009,713.6271743885009,12726890.0,70.52894337739583
Vadodara → Nalgonda,13,156975236.0,862.689510441513,862.689510441513,12075018.153846154,68.45695965842899
Vadodara → Raigarh(MH),3,40192567.0,363.09463463764945,363.09463463764945,13397522.333333334,65.72617823394765
Vadodara → Belgaum,2,23753400.0,729.2475810372769,729.2475810372769,11876700.0,64.996430416411
Vadodara → East Godavari,4,41106002.0,1069.0513882771054,1069.0513882771054,10276500.5,58.12100661567675
Vadodara → Dharwad,2,21287199.0,796.7331804243922,796.7331804243922,10643599.5,57.53436998522018
Vadodara → Bangalore,10,87847403.0,1135.9867559418983,1135.9867559418983,8784740.3,47.874035874373405
Vadodara → West Midnapore,1,8437000.0,1450.8420774634212,1450.8420774634212,8437000.0,47.475156592984455
Vadodara → K.V.Rangareddy,2,16484600.0,804.9063405668211,804.9063405668211,8242300.0,40.96837797600176
Vadodara → South Goa,1,7833430.0,792.9258251788015,792.9258251788015,7833430.0,38.00673496615057
Vadodara → Bharuch,6,71476900.0,68.64732404085208,68.64732404085208,11912816.666666666,36.18794385471526
Vadodara → Jaipur,6,47129082.0,577.9658044505583,577.9658044505583,7854847.0,35.58099527584034
Vadodara → Angul,2,13109800.0,1221.8427511377854,1221.8427511377854,6554900.0,32.08506218430116
Vadodara → Valsad,1,8664150.0,207.46504778898554,207.46504778898554,8664150.0,31.738641020322497
Vadodara → Dehradun,1,6619800.0,1014.82334575699,1014.82334575699,6619800.0,31.28954326346415
Vadodara → Howrah,1,5607360.0,1554.7662710016448,1554.7662710016448,5607360.0,26.495087021426578
WAGHODIA → DAHEJ,1,8761500.0,106.72449674328917,106.72449674328917,8761500.0,26.274602415057462
Vadodara → Ghaziabad,1,6051276.0,837.5757354017312,837.5757354017312,6051276.0,25.999857762064043
Vadodara → Ananthapur,2,12408880.0,626.2682422029022,626.2682422029022,6204440.0,25.200372682535665
Vadodara → Alwar,2,12201200.0,665.4533124818144,665.4533124818144,6100600.0,24.88982872153489
Vadodara → Pune,2,12970779.0,425.4633315419078,425.4633315419078,6485389.5,24.481441020861713
Vadodara → Murshidabad,1,5192000.0,1553.874165762872,1553.874165762872,5192000.0,23.323486102131376
Vadodara → Kheda,1,8539879.0,65.10315266370502,65.10315266370502,8539879.0,20.86955191829554
Vadodara → Kanchipuram,4,19982710.0,1262.163230563278,1262.163230563278,4995677.5,20.748658225424123
Vadodara → Surat,17,122376216.0,126.62300478255523,126.62300478255521,7198600.94117647,19.950083845052166
Vadodara → Kolkata,1,4506721.0,1558.750642210996,1558.750642210996,4506721.0,18.11099551396075
Vadodara → Thane,9,46738384.0,326.52107211264706,326.52107211264706,5193153.777777778,14.936800978675759
Vadodara → Mumbai,3,15017860.0,362.11084403572255,362.11084403572255,5005953.333333333,14.347488190633065
Vadodara → Jalpaiguri,2,7917800.0,1643.4172262817597,1643.4172262817597,3958900.0,14.147773821813725
Vadodara → Sagar,2,8833150.0,593.5010184469497,593.5010184469497,4416575.0,13.001549511537773
Vadodara → Dungarpur,1,4731210.0,180.90685704689278,180.90685704689278,4731210.0,9.272311622752783
Vadodara → Bhopal,1,3881020.0,444.4105677766864,444.4105677766864,3881020.0,8.28785544617022
Vadodara → Villupuram,2,6100600.0,1331.5659723121362,1331.5659723121362,3050300.0,6.498665040601029
WAGHODIA → VILLUPURAM,1,3050300.0,1321.33456527976,1321.33456527976,3050300.0,6.474263276965083
Vadodara → Erode,1,3005894.0,1280.1519492764016,1280.1519492764016,3005894.0,6.0443023929860535
Vadodara → Ahmed Nagar,2,4750680.0,801.0345160422561,801.0345160422561,2375340.0,0.20662240312860972
Vadodara → Indore,1,2784210.0,278.67290970874615,278.67290970874615,2784210.0,0.0
,0,109914380.0,,,,
,0,11468858.0,,,,
,0,9735000.0,,,,
Vadodara → Chickmagalur,0,3932940.0,,,,
