origin_city,destination_city,route,trip_count,total_exposure,avg_distance_km,p50_distance_km,p90_distance_km,max_distance_km,exposure_weighted_distance
Vadodara,Nalgonda,Vadodara → Nalgonda,13,156975236.0,862.689510441513,862.689510441513,862.689510441513,862.689510441513,114.16029049238102
Vadodara,Surat,Vadodara → Surat,17,122376216.0,126.62300478255523,126.62300478255521,126.62300478255521,126.62300478255521,13.06288304539764
,,,0,109914380.0,,,,,
Vadodara,Bangalore,Vadodara → Bangalore,10,87847403.0,1135.9867559418983,1135.9867559418983,1135.9867559418983,1135.9867559418983,84.1262631899354
Vadodara,Bharuch,Vadodara → Bharuch,6,71476900.0,68.64732404085208,68.64732404085208,68.64732404085208,68.64732404085208,4.136363758222971
Vadodara,Visakhapatnam,Vadodara → Visakhapatnam,5,67856844.0,1172.2705345120603,1172.2705345120603,1172.2705345120603,1172.2705345120603,67.05804825004451
Vadodara,South West Delhi,Vadodara → South West Delhi,4,63121516.0,795.7577412148929,795.7577412148929,795.7577412148929,795.7577412148929,42.34359197859035
Vadodara,Jaipur,Vadodara → Jaipur,6,47129082.0,577.9658044505583,577.9658044505583,577.9658044505583,577.9658044505583,22.962571816839148
Vadodara,Thane,Vadodara → Thane,9,46738384.0,326.52107211264706,326.52107211264706,326.52107211264706,326.52107211264706,12.86513385969277
Vadodara,East Godavari,Vadodara → East Godavari,4,41106002.0,1069.0513882771054,1069.0513882771054,1069.0513882771054,1069.0513882771054,37.04530920059441
Vadodara,Raigarh(MH),Vadodara → Raigarh(MH),3,40192567.0,363.09463463764945,363.09463463764945,363.09463463764945,363.09463463764945,12.302545474687774
Vadodara,Cuttack,Vadodara → Cuttack,2,31152000.0,1328.621877749021,1328.621877749021,1328.621877749021,1328.621877749021,34.89126672621467
Vadodara,Belgaum,Vadodara → Belgaum,2,23753400.0,729.2475810372769,729.2475810372769,729.2475810372769,729.2475810372769,14.602599782322365
Vadodara,Dharwad,Vadodara → Dharwad,2,21287199.0,796.7331804243922,796.7331804243922,796.7331804243922,796.7331804243922,14.297523769633194
Vadodara,Kanchipuram,Vadodara → Kanchipuram,4,19982710.0,1262.163230563278,1262.163230563278,1262.163230563278,1262.163230563278,21.261764963020997
Vadodara,K.V.Rangareddy,Vadodara → K.V.Rangareddy,2,16484600.0,804.9063405668211,804.9063405668211,804.9063405668211,804.9063405668211,11.185442382886418
Vadodara,Mumbai,Vadodara → Mumbai,3,15017860.0,362.11084403572255,362.11084403572255,362.11084403572255,362.11084403572255,4.584362857917719
Vadodara,Angul,Vadodara → Angul,2,13109800.0,1221.8427511377854,1221.8427511377854,1221.8427511377854,1221.8427511377854,13.503327038158924
Vadodara,Pune,Vadodara → Pune,2,12970779.0,425.4633315419078,425.4633315419078,425.4633315419078,425.4633315419078,4.652191670245356
Vadodara,Medak,Vadodara → Medak,1,12726890.0,713.6271743885009,713.6271743885009,713.6271743885009,713.6271743885009,7.656372820677777
Vadodara,Ananthapur,Vadodara → Ananthapur,2,12408880.0,626.2682422029022,626.2682422029022,626.2682422029022,626.2682422029022,6.55122291574951
Vadodara,Alwar,Vadodara → Alwar,2,12201200.0,665.4533124818144,665.4533124818144,665.4533124818144,665.4533124818144,6.844623127914927
Vadodara,,,0,11468858.0,,,,,
,Hooghly,,0,9735000.0,,,,,
Vadodara,Sagar,Vadodara → Sagar,2,8833150.0,593.5010184469497,593.5010184469497,593.5010184469497,593.5010184469497,4.419432215338716
WAGHODIA,DAHEJ,WAGHODIA → DAHEJ,1,8761500.0,106.72449674328917,106.72449674328917,106.72449674328917,106.72449674328917,0.7882645285523203
Vadodara,Valsad,Vadodara → Valsad,1,8664150.0,207.46504778898554,207.46504778898554,207.46504778898554,207.46504778898554,1.5153058715392271
Vadodara,Kheda,Vadodara → Kheda,1,8539879.0,65.10315266370502,65.10315266370502,65.10315266370502,65.10315266370502,0.4686872513082151
Vadodara,West Midnapore,Vadodara → West Midnapore,1,8437000.0,1450.8420774634212,1450.8420774634212,1450.8420774634212,1450.8420774634212,10.31899958007033
Vadodara,Jalpaiguri,Vadodara → Jalpaiguri,2,7917800.0,1643.4172262817597,1643.4172262817597,1643.4172262817597,1643.4172262817597,10.969372018865446
Vadodara,South Goa,Vadodara → South Goa,1,7833430.0,792.9258251788015,792.9258251788015,792.9258251788015,792.9258251788015,5.236172347855894
Vadodara,Dehradun,Vadodara → Dehradun,1,6619800.0,1014.82334575699,1014.82334575699,1014.82334575699,1014.82334575699,5.663236797340058
Vadodara,Villupuram,Vadodara → Villupuram,2,6100600.0,1331.5659723121362,1331.5659723121362,1331.5659723121362,1331.5659723121362,6.848014037559731
Vadodara,Ghaziabad,Vadodara → Ghaziabad,1,6051276.0,837.5757354017312,837.5757354017312,837.5757354017312,837.5757354017312,4.272680829516476
Vadodara,Howrah,Vadodara → Howrah,1,5607360.0,1554.7662710016448,1554.7662710016448,1554.7662710016448,1554.7662710016448,7.349418071500287
Vadodara,Murshidabad,Vadodara → Murshidabad,1,5192000.0,1553.874165762872,1553.874165762872,1553.874165762872,1553.874165762872,6.801112100264077
Vadodara,Ahmed Nagar,Vadodara → Ahmed Nagar,2,4750680.0,801.0345160422561,801.0345160422561,801.0345160422561,801.0345160422561,3.2080151525366323
Vadodara,Dungarpur,Vadodara → Dungarpur,1,4731210.0,180.90685704689278,180.90685704689278,180.90685704689278,180.90685704689278,0.7215337610022097
Vadodara,Kolkata,Vadodara → Kolkata,1,4506721.0,1558.750642210996,1558.750642210996,1558.750642210996,1558.750642210996,5.92197706848576
Vadodara,Chickmagalur,Vadodara → Chickmagalur,0,3932940.0,,,,,
Vadodara,Bhopal,Vadodara → Bhopal,1,3881020.0,444.4105677766864,444.4105677766864,444.4105677766864,444.4105677766864,1.4539841140606489
WAGHODIA,VILLUPURAM,WAGHODIA → VILLUPURAM,1,3050300.0,1321.33456527976,1321.33456527976,1321.33456527976,1321.33456527976,3.397697838296664
Vadodara,Erode,Vadodara → Erode,1,3005894.0,1280.1519492764016,1280.1519492764016,1280.1519492764016,1280.1519492764016,3.2438785541050628
Vadodara,Indore,Vadodara → Indore,1,2784210.0,278.67290970874615,278.67290970874615,278.67290970874615,278.67290970874615,0.6540728831668653
