Vehicle Number,trips,total_exposure,unique_routes
,0,88783200.0,0
DN09U9904,5,57329756.0,2
MH46CL1117,2,29639830.0,2
RJ01GB4967,1,29594400.0,1
DD01V9096,2,22922482.0,2
GJ27TF0462,2,21287199.0,1
DD01C9177,1,20352637.0,1
MH46CL2825,2,19487932.0,1
GJ01DY9754,1,17523000.0,1
RJ06GD8726,1,16711638.0,1
RJ09GE5750,1,16711638.0,1
MH05EL9059,1,16225000.0,1
RJ40GA5622,2,15985970.0,2
GJ15AT3650,1,15835600.0,1
CG07BT6881,1,15576000.0,1
CG07CG8357,1,15576000.0,1
GJ12BZ5472,1,14849120.0,1
RJ01GD5952,1,14849120.0,1
GJ06AV9579,2,14554344.0,1
GJ23Y9229,2,14554344.0,1
GJ23Y7074,2,14311488.0,1
GJ06XX5639,1,13640000.0,1
GJ16Z8499,1,13640000.0,1
MH23AU8077,1,13414830.0,1
MH46CU1601,1,13414830.0,1
MH46CU9717,1,13414830.0,1
RJ01GC0979,2,13109800.0,1
MH25AJ8374,1,12726890.0,1
DD01M9076,1,12672374.0,1
HR74B4047,1,12672374.0,1
MH11CJ7972,1,12672374.0,1
DD01AA9817,1,11874104.0,1
GJ06AX1776,2,10968100.0,2
MH04JK4205,1,10740950.0,1
MH16DP4788,1,10740950.0,1
MH16DP5788,1,10740950.0,1
MH48DC9354,1,10176320.0,1
MH46BP8855,1,9938500.0,1
MH11DC9972,1,9743966.0,1
NL01AL8321,0,9735000.0,0
MH04FD8455,1,9663610.0,1
MH48J1488,1,9378050.0,1
MH48T7933,1,9378050.0,1
GJ16AW6374,1,9336379.0,1
GJ01BT9984,1,8956200.0,1
GJ06ZZ0540,1,8956200.0,1
GJ23AW9398,1,8923750.0,1
MH04JU9299,1,8826400.0,1
GJ01DY9299,1,8761500.0,1
GJ06AV9148,1,8761500.0,1
CG04MP1469,1,8699391.0,1
DN09S9944,1,8699391.0,1
HR74B6238,1,8699391.0,1
MH16CD1258,1,8699391.0,1
MP12PQ5386,1,8699391.0,1
RJ14GT4243,1,8699391.0,1
GJ06YY7603,1,8664150.0,1
GJ23AW1482,1,8539879.0,1
GJ05CW3388,1,8437000.0,1
MH13AX4572,1,7917800.0,1
MH23AU1441,1,7833430.0,1
DN09U9917,1,7560850.0,1
MH40BG8682,1,7268800.0,1
GJ01DZ2701,1,7155744.0,1
GJ01HT2173,1,7155744.0,1
GJ01JT5841,1,7155744.0,1
GJ06BX9212,1,7155744.0,1
GJ07YZ3329,1,7155744.0,1
GJ18AZ1984,1,7155744.0,1
GJ27TD4692,1,7155744.0,1
GJ27TD5317,1,7155744.0,1
GJ27TT7814,1,7155744.0,1
RJ40GA7522,1,7155744.0,1
GJ27TD4527,0,7155744.0,0
GJ27TF8456,0,7155744.0,0
GJ06AZ2325,2,6967664.0,2
HR63D3516,1,6619800.0,1
GJ27TF3131,1,6284916.0,1
DD01V9770,1,6204440.0,1
MH46BM9925,1,6204440.0,1
HR38AA1496,1,6100600.0,1
RJ14GT1580,1,6100600.0,1
HR74B4548,1,6051276.0,1
JH02BK5441,1,5607360.0,1
HR47E2377,1,5471070.0,1
RJ14GL8183,1,5471070.0,1
MH48DC7752,1,5166040.0,1
RJ51GA3863,2,5163444.0,1
HR39E4482,2,4750680.0,1
GJ23Y5782,1,4731210.0,1
MH42BF5550,1,4659820.0,1
RJ06GD6077,1,4659820.0,1
RJ47GA2963,1,4506721.0,1
MH43BP8136,1,4478100.0,1
DD01C9333,1,4416575.0,1
HR74B8778,1,4416575.0,1
GJ16AW6467,1,4144379.0,1
MH16DP2391,0,4144379.0,0
GJ06AZ7221,1,3958900.0,1
RJ32GD2091,1,3958900.0,1
MH43CK7146,1,3932940.0,1
MH48BM8616,1,3699300.0,1
MH48CB6211,1,3699300.0,1
MH48CB8238,1,3699300.0,1
RJ06GC0560,1,3504600.0,1
MH04GC6727,0,3496812.0,0
GJ06BT4536,1,3428207.0,1
MH43BP7416,0,3322880.0,0
MH43BP8226,0,3180100.0,0
GJ06AX5839,1,3050300.0,1
GJ06AZ1541,1,3050300.0,1
GJ06BT4842,1,3050300.0,1
GJ27TT8709,1,3005894.0,1
GJ06VV6912,1,2784210.0,1
MH48AY3288,1,2583020.0,1
HR38Y1289,1,2581722.0,1
