carrier_norm,route,trips,total_exposure,avg_exposure
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,13,156975236.0,12075018.153846154
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,16,115220472.0,7201279.5
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Visakhapatnam,5,67856844.0,13571368.8
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Bangalore,6,52196346.0,8699391.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → East Godavari,4,41106002.0,10276500.5
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Jaipur,2,35879316.0,17939658.0
YATAYAT CORPORATION OF INDIA,Vadodara → South West Delhi,2,33423276.0,16711638.0
PREMIER ROAD CARRIERS LIMITED,Vadodara → Bangalore,3,32222850.0,10740950.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Cuttack,2,31152000.0,15576000.0
RAVINDER SINGH,Vadodara → Raigarh(MH),2,30528957.0,15264478.5
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → South West Delhi,2,29698240.0,14849120.0
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Bharuch,2,27280000.0,13640000.0
SURAT GOODS TRANSPORT PVT LTD,Vadodara → Bharuch,2,26284500.0,13142250.0
YATAYAT CORPORATION OF INDIA,Vadodara → Thane,3,21842744.0,7280914.666666667
EITA INDIA LIMITED,Vadodara → Dharwad,2,21287199.0,10643599.5
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Kanchipuram,4,19982710.0,4995677.5
YATAYAT CORPORATION OF INDIA,Vadodara → Bharuch,2,17912400.0,8956200.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → K.V.Rangareddy,2,16484600.0,8242300.0
RAVINDER SINGH,Vadodara → Belgaum,1,15835600.0,15835600.0
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Angul,2,13109800.0,6554900.0
YATAYAT CORPORATION OF INDIA,Vadodara → Pune,2,12970779.0,6485389.5
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Medak,1,12726890.0,12726890.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Ananthapur,2,12408880.0,6204440.0
ADHUNIK TRANSPORT ORGANISATION LIMITED,Vadodara → Alwar,2,12201200.0,6100600.0
RAVINDER SINGH,Vadodara → Thane,3,11097900.0,3699300.0
YATAYAT CORPORATION OF INDIA,Vadodara → Raigarh(MH),1,9663610.0,9663610.0
NAVEEN S DADHICH,Vadodara → Thane,2,9319640.0,4659820.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Sagar,2,8833150.0,4416575.0
Surat Goods transport,WAGHODIA → DAHEJ,1,8761500.0,8761500.0
CHAUHAN PRADEEPSINH,Vadodara → Valsad,1,8664150.0,8664150.0
YATAYAT CORPORATION OF INDIA,Vadodara → Kheda,1,8539879.0,8539879.0
YATAYAT CORPORATION OF INDIA,Vadodara → West Midnapore,1,8437000.0,8437000.0
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Jalpaiguri,2,7917800.0,3958900.0
YATAYAT CORPORATION OF INDIA,Vadodara → Belgaum,1,7917800.0,7917800.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → South Goa,1,7833430.0,7833430.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Mumbai,2,7749060.0,3874530.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Jaipur,3,7745166.0,2581722.0
RAVINDER SINGH,Vadodara → Mumbai,1,7268800.0,7268800.0
SHIV TRANSPORT ORGANISATION,Vadodara → Surat,1,7155744.0,7155744.0
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Dehradun,1,6619800.0,6619800.0
NAVEEN S DADHICH,Vadodara → Villupuram,2,6100600.0,3050300.0
RAVINDER SINGH,Vadodara → Ghaziabad,1,6051276.0,6051276.0
YATAYAT CORPORATION OF INDIA,Vadodara → Howrah,1,5607360.0,5607360.0
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Murshidabad,1,5192000.0,5192000.0
YATAYAT CORPORATION OF INDIA,Vadodara → Ahmed Nagar,2,4750680.0,2375340.0
YATAYAT CORPORATION OF INDIA,Vadodara → Dungarpur,1,4731210.0,4731210.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Kolkata,1,4506721.0,4506721.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Thane,1,4478100.0,4478100.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Chickmagalur,1,3932940.0,3932940.0
YATAYAT CORPORATION OF INDIA,Vadodara → Bhopal,1,3881020.0,3881020.0
YATAYAT CORPORATION OF INDIA,Vadodara → Jaipur,1,3504600.0,3504600.0
NAVEEN S DADHICH,Vadodara → Bangalore,1,3428207.0,3428207.0
NAVEEN S DADHICH,WAGHODIA → VILLUPURAM,1,3050300.0,3050300.0
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Erode,1,3005894.0,3005894.0
YATAYAT CORPORATION OF INDIA,Vadodara → Indore,1,2784210.0,2784210.0
