carrier_norm,route,veh_norm,trips,total_exposure,avg_exposure,veh_rank_in_pair
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Jaipur,RJ01GB4967,1,29594400.0,29594400.0,1
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Jaipur,GJ27TF3131,1,6284916.0,6284916.0,2
PREMIER ROAD CARRIERS LIMITED,Vadodara → Bangalore,MH04JK4205,1,10740950.0,10740950.0,1
PREMIER ROAD CARRIERS LIMITED,Vadodara → Bangalore,MH16DP4788,1,10740950.0,10740950.0,2
PREMIER ROAD CARRIERS LIMITED,Vadodara → Bangalore,MH16DP5788,1,10740950.0,10740950.0,3
RAVINDER SINGH,Vadodara → Raigarh(MH),DD01C9177,1,20352637.0,20352637.0,1
RAVINDER SINGH,Vadodara → Raigarh(MH),MH48DC9354,1,10176320.0,10176320.0,2
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Bangalore,CG04MP1469,1,8699391.0,8699391.0,1
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Bangalore,DN09S9944,1,8699391.0,8699391.0,2
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Bangalore,HR74B6238,1,8699391.0,8699391.0,3
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Bangalore,MH16CD1258,1,8699391.0,8699391.0,4
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Bangalore,MP12PQ5386,1,8699391.0,8699391.0,5
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Bangalore,RJ14GT4243,1,8699391.0,8699391.0,6
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Cuttack,CG07BT6881,1,15576000.0,15576000.0,1
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Cuttack,CG07CG8357,1,15576000.0,15576000.0,2
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → East Godavari,MH46CL2825,2,19487932.0,9743966.0,1
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → East Godavari,DD01AA9817,1,11874104.0,11874104.0,2
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → East Godavari,MH11DC9972,1,9743966.0,9743966.0,3
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,DN09U9904,3,34330494.0,11443498.0,1
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,MH23AU8077,1,13414830.0,13414830.0,2
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,MH46CL1117,1,13414830.0,13414830.0,3
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,MH46CU1601,1,13414830.0,13414830.0,4
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,MH46CU9717,1,13414830.0,13414830.0,5
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,DD01M9076,1,12672374.0,12672374.0,6
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,HR74B4047,1,12672374.0,12672374.0,7
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,MH11CJ7972,1,12672374.0,12672374.0,8
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,DD01V9096,1,10514900.0,10514900.0,9
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,RJ40GA5622,1,10514900.0,10514900.0,10
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,GJ06AV9579,2,14554344.0,7277172.0,1
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,GJ23Y9229,2,14554344.0,7277172.0,2
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,GJ06AX1776,1,7398600.0,7398600.0,3
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,GJ01DZ2701,1,7155744.0,7155744.0,4
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,GJ01HT2173,1,7155744.0,7155744.0,5
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,GJ01JT5841,1,7155744.0,7155744.0,6
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,GJ06BX9212,1,7155744.0,7155744.0,7
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,GJ07YZ3329,1,7155744.0,7155744.0,8
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,GJ18AZ1984,1,7155744.0,7155744.0,9
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,GJ23Y7074,1,7155744.0,7155744.0,10
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Visakhapatnam,DN09U9904,2,22999262.0,11499631.0,1
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Visakhapatnam,MH05EL9059,1,16225000.0,16225000.0,2
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Visakhapatnam,MH46CL1117,1,16225000.0,16225000.0,3
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Visakhapatnam,DD01V9096,1,12407582.0,12407582.0,4
YATAYAT CORPORATION OF INDIA,Vadodara → South West Delhi,RJ06GD8726,1,16711638.0,16711638.0,1
YATAYAT CORPORATION OF INDIA,Vadodara → South West Delhi,RJ09GE5750,1,16711638.0,16711638.0,2
