carrier_norm,route,pair_trips,pair_total_exposure,pair_unique_vehicles,veh_top1_share_pct,veh_top3_share_pct,veh_top5_share_pct
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,13,156975236.0,11,21.87,38.96,56.05
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,16,115220472.0,14,12.63,31.68,44.11
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Visakhapatnam,5,67856844.0,4,33.89,81.72,100.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Bangalore,6,52196346.0,6,16.67,50.0,83.33
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → East Godavari,4,41106002.0,3,47.41,100.0,100.0
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Jaipur,2,35879316.0,2,82.48,100.0,100.0
YATAYAT CORPORATION OF INDIA,Vadodara → South West Delhi,2,33423276.0,2,50.0,100.0,100.0
PREMIER ROAD CARRIERS LIMITED,Vadodara → Bangalore,3,32222850.0,3,33.33,100.0,100.0
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Cuttack,2,31152000.0,2,50.0,100.0,100.0
RAVINDER SINGH,Vadodara → Raigarh(MH),2,30528957.0,2,66.67,100.0,100.0
