place,lat,lon,provider,query,status
Ahmed Nagar,17.5830434,78.9913685,nominatim,"Ahmed Nagar, India",ok
Alwar,27.4140049,76.6170387,nominatim,"Alwar, India",ok
Ananthapur,19.5048853,78.4309345,nominatim,"Ananthapur, India",ok
Angul,21.102538,84.9536825,nominatim,"Angul, India",ok
Bangalore,12.9767936,77.590082,nominatim,"Bangalore, India",ok
Belgaum,15.8572666,74.5069343,nominatim,"Belgaum, India",ok
Bharuch,21.7080427,72.9956936,nominatim,"Bharuch, India",ok
Bhopal,23.2584857,77.401989,nominatim,"Bhopal, India",ok
Chickmagalur,,,nominatim,"Chickmagalur, India",not_found
Cuttack,20.4686,85.8792,nominatim,"Cuttack, India",ok
DAHEJ,21.709301,72.5893963,nominatim,"DAHEJ, India",ok
Dehradun,30.3255646,78.0436813,nominatim,"Dehradun, India",ok
Dharwad,15.3707296,75.1332867,nominatim,"Dharwad, India",ok
Dungarpur,23.8538893,73.7087177,nominatim,"Dungarpur, India",ok
East Godavari,16.9956639,81.7154378,nominatim,"East Godavari, India",ok
Erode,11.4905282,77.3505274,nominatim,"Erode, India",ok
Ghaziabad,28.7749966,77.4586967,nominatim,"Ghaziabad, India",ok
Hooghly,22.9099403,88.0120825,nominatim,"Hooghly, India",ok
Howrah,22.5736296,88.3251045,nominatim,"Howrah, India",ok
Indore,22.7203616,75.8681996,nominatim,"Indore, India",ok
Jaipur,26.9154576,75.8189817,nominatim,"Jaipur, India",ok
Jalpaiguri,26.6262805,88.7334485,nominatim,"Jalpaiguri, India",ok
K.V.Rangareddy,17.185608,78.6423911,nominatim,"K.V.Rangareddy, India",ok
Kanchipuram,12.9647163,79.9839686,nominatim,"Kanchipuram, India",ok
Kheda,22.8532503,72.9953586,nominatim,"Kheda, India",ok
Kolkata,22.5726459,88.3638953,nominatim,"Kolkata, India",ok
Medak,17.9375095,78.211745,nominatim,"Medak, India",ok
Mumbai,19.054999,72.8692035,nominatim,"Mumbai, India",ok
Murshidabad,24.1745993,88.2721335,nominatim,"Murshidabad, India",ok
Nalgonda,17.0504406,79.2669235,nominatim,"Nalgonda, India",ok
Pune,18.5213738,73.8545071,nominatim,"Pune, India",ok
Raigarh(MH),19.0342426,73.0627866,nominatim,"Raigarh(MH), India",ok
Sagar,23.8083076,78.758254,nominatim,"Sagar, India",ok
South Goa,15.2197327,74.1147213,nominatim,"South Goa, India",ok
South West Delhi,28.5864481,76.979153,nominatim,"South West Delhi, India",ok
Surat,21.2094892,72.8317058,nominatim,"Surat, India",ok
Thane,19.3653598,73.3685437,nominatim,"Thane, India",ok
VILLUPURAM,11.9398285,79.4945645,nominatim,"VILLUPURAM, India",ok
Vadodara,22.2973142,73.1942567,nominatim,"Vadodara, India",ok
Valsad,20.4321957,73.1409893,nominatim,"Valsad, India",ok
Villupuram,11.9398285,79.4945645,nominatim,"Villupuram, India",ok
Visakhapatnam,17.6935526,83.2921297,nominatim,"Visakhapatnam, India",ok
WAGHODIA,22.3043328,73.4016768,nominatim,"WAGHODIA, India",ok
West Midnapore,22.4188527,87.307174,nominatim,"West Midnapore, India",ok
